classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs ,bugsBoolean
org::apache::lucene::search::highlight::TokenGroup ,6,1,5,1,45,0,9,0,54,10,9,1,0,8,7,24,13,0,0,0,0,0,0
org::apache::lucene::index::MergeDocIDRemapper ,4,1,2,2,1,0,6,0,76,2,9,0,0,6,2,8,15,1,0,0,0,0,1
org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask ,8,4,0,8,3,0,0,13,39,3,51,0,0,0,2,33,10,0,0,0,0,0,0
org::apache::lucene::analysis::PorterStemFilter ,3,3,0,3,1,0,1,1,14,2,16,1,0,0,2,10,4,0,0,0,0,0,0
org::apache::lucene::search::PhraseScorer ,8,3,1,7,78,2,9,0,107,13,17,4,3,0,6,44,33,0,0,0,0,0,0
org::apache::lucene::analysis::WordlistLoader ,6,1,2,4,1,0,0,0,44,2,9,0,0,0,2,18,10,0,0,0,0,0,0
org::apache::lucene::analysis::CharTokenizer ,3,3,1,2,10,3,6,1,55,5,16,6,0,0,3,15,13,1,0,0,0,0,1
org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask ,2,4,0,2,1,0,0,2,7,2,44,0,0,0,2,4,2,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::ComposedQuery ,9,2,5,4,105,4,3,1,73,15,30,3,0,0,9,64,24,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::SpanBuilderBase ,1,2,0,1,0,6,0,0,3,1,11,0,0,0,1,2,1,0,0,0,0,0,0
org::apache::lucene::store::Directory ,74,1,69,5,153,7,2,0,64,18,9,0,0,1,17,35,18,1,0,0,0,0,1
org::apache::lucene::xmlparser::builders::DuplicateFilterBuilder ,4,1,1,3,1,0,0,0,34,2,10,0,0,0,2,15,5,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::BooleanQueryBuilder ,11,1,2,9,3,0,1,0,56,3,10,1,0,0,2,25,10,0,0,0,0,0,0
org::apache::lucene::index::DocInverterPerField ,14,2,1,13,3,0,6,0,130,3,11,2,0,4,2,35,18,3,0,0,0,0,1
org::apache::lucene::analysis::el::GreekLowerCaseFilter ,4,3,1,3,1,0,1,1,19,2,16,0,0,1,2,6,4,0,0,0,0,0,0
org::apache::lucene::index::ReadOnlySegmentReader ,3,4,1,2,3,0,0,15,9,3,80,0,0,0,1,6,4,0,0,0,0,0,0
org::apache::lucene::search::spans::SpanNotQuery ,11,3,4,7,66,0,2,0,144,12,44,2,0,0,12,34,21,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::RepSumByNameTask ,7,3,1,6,3,0,0,12,39,3,46,0,0,0,2,27,6,0,0,0,0,0,0
org::apache::lucene::index::InvertedDocEndConsumer ,2,1,2,0,10,1,0,0,0,5,9,0,0,0,0,5,0,0,0,0,0,0,0
org::apache::lucene::search::highlight::SpanGradientFormatter ,4,2,0,4,1,0,2,14,35,2,15,2,0,0,2,12,6,0,0,0,0,0,0
org::apache::lucene::xmlparser::CoreParser ,23,1,3,20,15,1,5,0,87,6,10,0,1,1,4,41,7,0,0,0,0,0,0
org::apache::lucene::analysis::compound::hyphenation::HyphenationException ,1,1,1,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::FilteredQueryBuilder ,6,1,1,5,1,0,2,0,18,2,10,2,0,0,2,9,2,0,0,0,0,0,0
org::apache::lucene::benchmark::stats::MemUsage ,2,1,1,1,3,0,6,0,13,3,9,0,0,6,3,8,2,0,0,0,0,0,0
org::apache::lucene::index::ParallelReader ,10,2,3,7,325,0,9,2,267,26,58,8,0,1,20,156,67,0,0,0,0,0,0
org::apache::lucene::store::ChecksumIndexInput ,3,2,0,3,28,0,2,0,28,8,33,0,0,2,8,18,8,0,0,0,0,0,0
org::apache::lucene::analysis::compound::DictionaryCompoundWordTokenFilter ,2,4,0,2,1,0,0,10,36,2,24,0,0,0,1,14,12,0,0,0,0,0,0
org::apache::lucene::store::SingleInstanceLockFactory ,3,2,2,1,3,0,1,1,13,3,13,1,0,0,3,6,3,0,0,0,0,0,0
org::apache::lucene::analysis::ar::ArabicNormalizationFilter ,5,3,2,3,1,0,1,1,15,2,16,0,0,0,1,8,4,0,0,0,0,0,0
org::apache::lucene::analysis::StopAnalyzer ,6,2,1,5,3,0,2,0,17,3,15,1,0,0,3,12,4,0,0,0,0,0,0
org::apache::lucene::analysis::PerFieldAnalyzerWrapper ,3,2,2,1,15,0,2,0,30,6,15,2,0,0,6,13,9,0,0,0,0,0,0
org::apache::lucene::index::IndexReader ,153,1,138,16,1225,6,5,0,214,50,9,3,1,0,39,124,48,3,0,0,0,0,1
org::apache::lucene::wordnet::SynLookup ,9,1,0,9,1,0,0,0,78,2,9,0,0,0,2,43,13,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::parser::QueryParserTokenManager ,4,1,1,3,190,0,19,26,604,20,9,2,14,7,5,103,217,0,0,0,0,0,0
org::apache::lucene::analysis::ngram::EdgeNGramTokenFilter ,3,3,1,2,3,0,7,1,45,3,16,4,1,0,2,17,10,1,0,0,0,0,1
org::apache::lucene::search::ExtendedFieldCacheImpl ,3,2,1,2,6,0,5,13,9,4,35,2,0,3,3,9,3,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::NewRoundTask ,3,2,0,3,3,0,0,2,10,3,39,0,0,0,2,6,3,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::stats::Points ,11,1,10,1,15,0,3,0,23,6,9,3,1,0,5,12,6,0,0,0,0,0,0
org::apache::lucene::analysis::miscellaneous::PrefixAwareTokenFilter ,5,2,2,3,36,2,4,0,63,9,13,4,0,0,9,24,15,0,0,0,0,0,0
org::apache::lucene::queryParser::Token ,0,1,0,0,6,0,8,0,13,4,9,0,0,8,4,5,4,0,0,0,0,0,0
org::apache::lucene::store::Lock ,13,1,10,3,3,9,3,0,29,3,9,0,0,1,3,12,8,1,0,0,0,0,1
org::apache::lucene::index::FreqProxTermsWriter ,14,2,0,14,45,0,3,1,229,10,16,2,1,1,2,53,43,0,0,0,0,0,0
org::apache::lucene::analysis::compound::hyphenation::Hyphen ,2,1,0,2,1,0,3,0,19,2,18,0,0,3,1,7,6,0,0,0,0,0,0
org::apache::lucene::index::InvertedDocConsumerPerThread ,2,1,2,0,6,1,0,0,0,4,9,0,0,0,0,4,0,0,0,0,0,0,0
org::apache::lucene::analysis::Analyzer ,50,1,50,0,15,33,1,0,12,6,9,1,0,0,4,9,4,1,0,0,0,0,1
org::apache::lucene::xmlparser::builders::LikeThisQueryBuilder ,12,1,1,11,1,0,5,0,58,2,10,1,0,4,2,29,10,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::RangeFilterBuilder ,3,1,1,2,1,0,0,0,10,2,10,0,0,0,2,6,1,0,0,0,0,0,0
org::tartarus::snowball::ext::LovinsStemmer ,1,2,0,1,561,0,4,6,1501,34,35,4,33,0,1,137,262,0,0,0,0,0,0
org::apache::lucene::util::UnicodeUtil ,8,1,6,2,1,0,9,0,115,2,9,4,0,0,2,7,20,0,0,0,0,0,0
org::apache::lucene::document::NumberTools ,6,1,1,5,1,0,6,0,51,2,9,3,0,0,2,19,10,0,0,0,0,0,0
org::apache::lucene::search::ExactPhraseScorer ,5,4,2,3,1,0,0,5,28,2,27,0,0,0,0,9,7,0,0,0,0,0,0
org::apache::lucene::store::FSDirectory ,1,2,1,0,1,3,4,2,6,2,27,3,0,0,2,2,2,5,0,0,0,0,1
org::apache::lucene::ant::TextDocument ,6,1,2,4,3,0,1,0,31,3,9,1,0,0,3,19,4,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::SpanNotBuilder ,5,3,1,4,1,0,1,0,19,2,12,0,0,1,2,8,2,0,0,0,0,0,0
org::apache::lucene::store::instantiated::InstantiatedIndexReader ,16,2,5,14,276,0,4,2,174,24,58,4,0,0,19,123,64,1,0,0,0,0,1
org::tartarus::snowball::ext::PortugueseStemmer ,1,2,0,1,66,0,13,6,866,12,35,13,11,0,1,92,155,0,0,0,0,0,0
org::apache::lucene::util::CloseableThreadLocal ,5,1,4,1,6,1,2,0,43,4,9,2,0,0,3,18,8,0,0,0,0,0,0
org::apache::lucene::index::FormatPostingsTermsWriter ,4,2,1,3,10,0,8,1,30,5,11,0,0,8,0,11,6,0,0,0,0,0,0
org::apache::lucene::index::MergeScheduler ,1,1,1,0,1,3,0,0,0,2,9,0,0,0,0,2,0,0,0,0,0,0,0
org::apache::lucene::index::TermInfo ,2,1,2,0,1,0,4,0,12,2,9,0,0,4,0,2,2,0,0,0,0,0,0
org::apache::lucene::search::ComplexExplanation ,12,2,10,2,10,0,1,0,20,5,29,1,0,0,4,14,8,0,0,0,0,0,0
org::apache::lucene::search::DocIdSetIterator ,26,1,26,0,6,4,0,0,0,4,9,0,0,0,4,4,0,0,0,0,0,0,0
org::apache::lucene::store::db::DbDirectory ,9,2,1,8,91,0,5,2,102,14,27,0,0,0,14,63,21,0,0,0,0,0,0
org::apache::lucene::search::CheckHits ,20,1,12,10,45,0,1,0,214,10,9,0,0,1,10,105,46,0,0,0,0,0,0
org::apache::lucene::index::Term ,74,1,72,2,45,0,2,0,37,10,18,0,1,2,7,18,16,0,0,0,0,0,0
org::apache::lucene::demo::SearchFiles ,12,1,0,12,6,0,0,0,206,4,9,0,1,0,3,78,47,0,0,0,0,0,0
org::apache::lucene::demo::html::ParseException ,4,1,1,3,3,0,5,0,87,3,27,0,0,3,2,28,24,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::NotQuery ,3,3,1,2,1,0,0,1,12,2,45,0,0,0,2,9,2,0,0,0,0,0,0
org::tartarus::snowball::Among ,2,1,0,2,0,0,6,0,18,1,9,0,0,6,1,5,2,0,0,0,0,0,0
org::apache::lucene::search::NonMatchingScorer ,2,3,1,1,15,0,0,0,10,6,17,0,0,0,6,10,6,0,0,0,0,0,0
org::apache::lucene::index::TermVectorsTermsWriterPerThread ,3,2,2,2,21,0,7,0,42,7,13,0,0,7,5,12,10,0,0,0,0,0,0
org::apache::lucene::search::Explanation ,29,1,28,1,55,1,3,0,63,11,18,3,0,0,9,32,18,0,0,0,0,0,0
org::apache::lucene::index::TermVectorsWriter ,13,1,1,12,6,0,5,0,163,4,9,4,0,1,2,43,27,0,0,0,0,0,0
org::apache::lucene::search::spans::NearSpansOrdered ,6,2,1,6,91,0,12,0,166,14,16,12,5,0,9,63,50,1,0,0,0,0,1
org::apache::lucene::util::BitVector ,8,1,5,3,78,0,4,0,128,13,9,4,5,0,8,52,31,0,0,0,0,0,0
org::apache::lucene::search::regex::RegexTermEnum ,6,3,1,5,10,0,4,0,34,5,24,4,0,0,4,18,8,0,0,0,0,0,0
org::apache::lucene::search::BoostingQuery ,2,2,1,1,3,0,3,0,39,3,39,3,0,0,3,8,5,0,0,0,0,0,0
org::apache::lucene::analysis::ngram::NGramTokenizer ,2,3,1,1,1,0,9,1,27,2,16,7,0,0,2,7,6,0,0,0,0,0,0
org::apache::lucene::queryParser::ParseException ,8,1,5,3,3,0,5,0,90,3,27,0,0,3,2,29,24,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::NoMoreDataException ,6,1,6,0,0,0,0,0,0,1,27,0,0,0,1,1,0,0,0,0,0,0,0
org::apache::lucene::demo::html::HTMLParser ,15,1,3,13,496,0,40,39,574,32,9,19,11,21,17,177,179,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::BasicQueryFactory ,4,1,1,3,15,0,2,0,18,6,9,2,1,0,5,12,7,0,0,0,0,0,0
org::apache::lucene::analysis::br::BrazilianAnalyzer ,4,2,0,4,3,0,3,0,15,3,15,2,0,0,3,10,3,0,0,0,0,0,0
org::apache::lucene::search::Similarity ,29,1,27,2,78,4,2,0,22,13,18,2,0,0,13,17,7,1,0,0,0,0,1
org::apache::lucene::search::highlight::SimpleFragmenter ,7,1,6,1,10,0,3,0,20,5,11,3,0,0,5,6,6,0,0,0,0,0,0
org::apache::lucene::index::SegmentTermVector ,3,1,1,2,28,1,3,0,50,8,15,3,0,0,7,18,15,0,0,0,0,0,0
org::apache::lucene::benchmark::Constants ,0,1,0,0,0,0,5,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::WarmTask ,0,3,0,0,15,0,0,2,18,6,55,0,0,0,6,6,6,0,0,0,0,0,0
org::apache::lucene::index::DefaultSkipListReader ,3,2,1,2,28,0,7,0,58,8,17,7,0,0,0,17,10,0,0,0,0,0,0
org::apache::lucene::analysis::el::GreekAnalyzer ,3,2,0,3,3,0,27,0,25,3,15,27,1,0,2,11,5,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::SpanOrBuilder ,5,3,1,4,1,0,1,0,19,2,12,0,0,1,2,13,4,0,0,0,0,0,0
org::apache::lucene::search::function::CustomScoreQuery ,9,2,1,8,78,2,3,0,88,13,39,3,0,0,12,44,28,0,0,0,0,0,0
org::apache::lucene::index::SortedTermVectorMapper ,4,2,2,2,6,0,5,0,59,4,15,4,0,0,4,19,21,0,0,0,0,0,0
org::apache::lucene::analysis::sinks::TokenTypeSinkTokenizer ,3,4,0,3,1,0,1,3,10,2,22,1,0,0,2,5,4,0,0,0,0,0,0
org::apache::lucene::search::spans::SpanWeight ,10,2,1,10,21,1,7,0,97,7,24,0,0,0,7,50,12,0,0,0,0,0,0
org::apache::lucene::search::FuzzyTermEnum ,6,3,2,4,66,0,11,0,135,12,24,11,7,0,4,51,36,0,0,0,0,0,0
org::apache::lucene::search::function::ShortFieldSource ,4,3,0,4,10,0,1,0,43,5,31,1,0,0,5,13,8,0,0,0,0,0,0
org::apache::lucene::search::payloads::BoostingTermQuery ,4,4,1,3,3,0,0,1,13,3,54,0,0,0,2,6,5,0,0,0,0,0,0
org::apache::lucene::search::highlight::TokenSources ,2,1,0,2,1,0,0,0,21,2,9,0,0,0,2,7,5,0,0,0,0,0,0
org::apache::lucene::demo::html::ParserThread ,6,1,1,6,1,0,1,2,23,2,31,0,0,1,1,11,2,0,0,0,0,0,0
org::tartarus::snowball::ext::EnglishStemmer ,1,2,0,1,136,0,17,6,1131,17,35,17,16,0,1,127,206,0,0,0,0,0,0
org::apache::lucene::index::TermVectorEntry ,6,1,5,1,66,0,5,0,51,12,9,4,0,1,9,16,18,0,0,0,0,0,0
org::apache::lucene::LucenePackage ,1,1,0,1,1,0,0,0,4,2,9,0,1,0,1,3,2,0,0,0,0,0,0
org::apache::lucene::index::FieldSortedTermVectorMapper ,4,2,3,1,10,0,4,0,19,5,15,4,0,0,5,9,5,0,0,0,0,0,0
org::apache::lucene::store::BufferedIndexInput ,7,2,5,2,78,4,6,0,131,13,33,4,2,0,8,36,30,0,0,0,0,0,0
org::apache::lucene::index::FieldInfos ,18,1,14,4,78,0,9,0,107,13,9,2,2,0,9,52,32,1,0,0,0,0,1
org::apache::lucene::index::TermInfosReader ,8,1,1,7,105,0,13,0,154,15,9,13,5,0,5,55,39,1,0,0,0,0,1
org::apache::lucene::swing::models::RestaurantInfo ,3,1,3,0,153,0,8,0,51,18,9,8,0,0,18,20,17,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::TaskSequence ,11,2,4,7,253,0,14,2,240,23,39,13,8,1,14,89,72,0,0,0,0,0,0
org::apache::lucene::index::FreqProxTermsWriterPerThread ,2,2,1,1,10,0,2,0,13,5,13,0,0,2,3,6,5,0,0,0,0,0,0
org::apache::lucene::index::DocInverter ,4,2,0,4,21,0,2,1,53,7,15,0,0,2,4,33,9,0,0,0,0,0,0
org::apache::lucene::util::SortedVIntList ,4,2,2,3,15,0,7,0,62,6,11,6,2,0,4,13,10,0,0,0,0,0,0
org::apache::lucene::analysis::cn::ChineseAnalyzer ,2,2,0,2,1,0,0,0,7,2,15,0,0,0,2,4,2,0,0,0,0,0,0
org::apache::lucene::store::je::JEDirectory ,8,2,1,7,91,0,5,2,102,14,27,0,0,0,14,64,21,0,0,0,0,0,0
org::apache::lucene::search::highlight::GradientFormatter ,5,1,1,4,21,1,16,0,132,7,10,2,2,12,3,46,23,0,0,0,0,0,0
org::apache::lucene::wordnet::Syns2Index ,8,1,0,8,6,0,5,0,154,4,9,3,3,0,1,62,18,0,0,0,0,0,0
org::apache::lucene::index::MergePolicy ,1,1,1,0,15,1,0,0,3,6,9,0,0,0,0,7,1,0,0,0,0,0,0
org::apache::lucene::search::QueryUtils ,26,1,13,14,28,0,0,0,167,8,9,0,2,0,6,56,25,0,0,0,0,0,0
org::apache::lucene::index::memory::SynonymTokenFilter ,3,3,0,3,6,0,7,1,56,4,16,6,1,0,2,17,14,0,0,0,0,0,0
org::apache::lucene::search::DisjunctionSumScorer ,5,3,1,4,36,0,8,0,98,9,17,6,1,0,7,41,31,0,0,0,0,0,0
org::apache::lucene::store::NativeFSLockFactory ,8,2,2,6,10,0,1,1,53,5,13,1,1,0,3,28,14,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::SpanNearClauseFactory ,8,1,2,6,55,0,4,0,50,11,9,4,0,0,10,39,16,0,0,0,0,0,0
org::apache::lucene::search::spell::PlainTextDictionary ,2,1,1,1,1,0,3,0,6,2,10,3,0,0,2,4,2,0,0,0,0,0,0
org::apache::lucene::store::BufferedIndexOutput ,1,2,0,1,28,0,4,0,58,8,24,3,0,0,7,18,14,0,0,0,0,0,0
org::apache::lucene::document::MapFieldSelector ,2,2,2,0,1,0,1,0,9,2,19,0,0,1,2,5,4,0,0,0,0,0,0
org::apache::lucene::search::MockFilter ,3,2,1,2,6,0,1,0,10,4,21,1,0,0,4,6,3,0,0,0,0,0,0
org::apache::lucene::store::instantiated::InstantiatedIndex ,20,1,5,17,136,0,8,0,226,17,18,8,0,0,10,128,43,0,0,0,0,0,0
org::apache::lucene::index::FieldReaderException ,0,1,0,0,0,0,0,0,3,1,28,0,0,0,1,1,1,0,0,0,0,0,0
org::apache::lucene::store::LockFactory ,6,1,6,0,6,6,1,0,6,4,9,0,0,0,4,4,2,0,0,0,0,0,0
org::apache::lucene::benchmark::quality::trec::QueryDriver ,8,1,0,8,0,0,0,0,35,1,9,0,0,0,1,18,1,0,0,0,0,0,0
org::apache::lucene::index::TermsHashConsumerPerField ,1,1,1,0,15,2,0,0,0,6,9,0,0,0,0,6,0,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::TermsQueryBuilder ,11,1,1,10,1,0,1,0,37,2,10,0,0,1,2,22,4,0,0,0,0,0,0
org::apache::lucene::search::spans::TermSpans ,5,2,2,3,45,0,6,0,64,10,16,0,0,0,10,23,16,0,0,0,0,0,0
org::apache::lucene::demo::html::TokenMgrError ,5,1,2,3,6,0,5,0,57,4,27,0,0,1,2,26,17,0,0,0,0,0,0
org::apache::lucene::search::TopDocs ,6,1,6,0,3,1,3,0,11,3,18,1,0,2,3,3,3,0,0,0,0,0,0
org::apache::lucene::benchmark::quality::trec::TrecJudge ,7,1,2,5,6,0,1,0,77,4,12,0,0,1,4,45,21,0,0,0,0,0,0
org::apache::lucene::demo::html::SimpleCharStream ,6,1,1,5,190,0,16,0,256,20,9,0,0,4,15,38,47,0,0,0,0,0,0
org::apache::lucene::index::TermsHashConsumerPerThread ,2,1,2,0,6,2,0,0,0,4,9,0,0,0,2,4,0,0,0,0,0,0,0
org::apache::lucene::index::FormatPostingsPositionsConsumer ,2,1,2,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::parser::QueryParser ,20,1,2,18,903,0,31,26,583,43,9,17,9,14,22,221,174,0,0,0,0,0,0
org::apache::lucene::store::instantiated::InstantiatedTermPositions ,4,2,1,3,21,0,1,2,35,7,35,1,0,0,7,15,9,0,0,0,0,0,0
org::apache::lucene::analysis::el::GreekCharsets ,2,1,1,1,0,0,3,0,225,1,9,0,0,3,1,2,79,0,0,0,0,0,0
org::apache::lucene::benchmark::stats::QueryData ,4,1,2,2,6,0,5,0,26,4,9,0,0,5,4,10,10,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::FileBasedQueryMaker ,8,2,0,8,0,0,0,3,49,1,23,0,0,0,0,24,9,0,0,0,0,0,0
org::tartarus::snowball::ext::FinnishStemmer ,1,2,0,1,78,0,18,6,877,13,35,18,12,0,1,85,140,0,0,0,0,0,0
org::apache::lucene::search::highlight::SpanScorer ,7,1,3,4,45,0,7,0,77,10,12,7,1,0,9,29,19,0,0,0,0,0,0
org::apache::lucene::search::regex::RegexQuery ,6,3,2,4,15,0,1,2,27,6,51,1,0,0,5,17,10,0,0,0,0,0,0
org::apache::lucene::document::Field ,14,3,11,3,15,0,0,16,49,6,104,0,0,0,6,13,17,1,0,0,0,0,1
org::tartarus::snowball::ext::TurkishStemmer ,1,2,0,1,861,0,34,6,2864,42,35,34,41,0,1,312,479,0,0,0,0,0,0
org::apache::lucene::analysis::WhitespaceTokenizer ,19,4,18,1,1,0,0,1,6,2,21,0,0,0,1,3,2,0,0,0,0,0,0
org::apache::lucene::demo::DeleteFiles ,4,1,0,4,1,0,0,0,32,2,9,0,1,0,1,14,3,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::FuzzyLikeThisQueryBuilder ,6,1,1,5,1,0,5,0,22,2,10,1,0,4,2,16,3,0,0,0,0,0,0
org::apache::lucene::index::InvertedDocConsumerPerField ,1,1,1,0,6,1,0,0,0,4,9,0,0,0,0,4,0,0,0,0,0,0,0
org::apache::lucene::index::SegmentMergeInfo ,6,1,3,3,10,0,6,0,44,5,9,2,0,4,0,14,12,0,0,0,0,0,0
org::apache::lucene::search::FuzzyLikeThisQuery ,18,2,2,16,15,0,7,0,141,6,39,0,1,7,5,68,24,0,0,0,0,0,0
org::apache::lucene::index::FieldInvertState ,4,1,4,0,21,0,5,0,29,7,9,0,0,5,6,7,7,0,0,0,0,0,0
org::apache::lucene::index::DocFieldConsumersPerThread ,3,2,1,3,10,0,4,0,37,5,13,0,0,4,5,12,7,0,0,0,0,0,0
org::apache::lucene::store::GCJIndexInput ,2,2,1,1,55,0,6,0,14,11,33,4,2,2,9,14,5,0,0,0,0,0,0
org::apache::lucene::store::MMapDirectory ,0,3,0,0,1,0,1,3,5,2,29,1,0,0,1,3,2,1,0,0,0,0,1
org::apache::lucene::store::instantiated::InstantiatedTermEnum ,3,2,1,3,15,0,3,0,51,6,15,3,0,0,6,23,12,1,0,0,0,0,1
org::apache::lucene::wordnet::SynExpand ,9,1,0,9,1,0,0,0,70,2,9,0,0,0,2,38,12,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::MatchAllDocsQueryBuilder ,2,1,1,1,1,0,0,0,3,2,10,0,0,0,2,3,1,0,0,0,0,0,0
org::apache::lucene::benchmark::quality::utils::QualityQueriesFinder ,9,1,0,9,10,0,2,0,64,5,9,2,4,0,1,33,15,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::WriteLineDocTask ,10,2,0,10,21,0,7,2,73,7,39,4,1,1,6,41,17,0,0,0,0,0,0
org::apache::lucene::store::LockObtainFailedException ,3,1,3,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0,0,0,0,0,0
org::apache::lucene::search::WildcardQuery ,10,3,6,4,6,0,1,2,19,4,49,1,0,0,3,12,7,0,0,0,0,0,0
org::apache::lucene::search::TimeLimitedCollector ,5,2,1,4,15,0,8,0,30,6,11,6,0,1,6,12,8,1,0,0,0,0,1
org::apache::lucene::benchmark::byTask::feeds::ReutersQueryMaker ,6,2,0,6,3,0,1,3,48,3,23,1,2,0,0,35,7,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::TermsFilterBuilder ,8,1,1,7,1,0,1,0,32,2,10,0,0,1,2,15,4,0,0,0,0,0,0
org::apache::lucene::analysis::ar::ArabicNormalizer ,2,1,1,1,3,0,17,0,27,3,9,0,0,0,2,5,18,0,0,0,0,0,0
org::apache::lucene::swing::models::TableSearcher ,16,1,6,11,153,0,7,0,165,18,39,6,5,0,13,84,30,0,0,0,0,0,0
org::apache::lucene::ant::HtmlDocument ,14,1,2,12,21,0,1,0,98,7,9,1,1,0,6,58,16,0,0,0,0,0,0
org::apache::lucene::search::WildcardTermEnum ,5,3,1,4,15,0,8,0,133,6,24,0,0,6,5,31,26,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::parser::FastCharStream ,3,1,1,2,91,0,6,0,75,14,19,0,1,6,13,24,19,0,0,0,0,0,0
org::apache::lucene::search::similar::MoreLikeThis ,18,1,1,17,496,0,22,0,285,32,9,12,4,0,28,105,68,0,0,0,0,0,0
org::apache::lucene::index::StoredFieldsWriterPerField ,6,2,1,5,3,0,3,0,31,3,11,0,0,3,2,10,6,0,0,0,0,0,0
org::apache::lucene::analysis::ru::RussianLowerCaseFilter ,4,3,1,3,1,0,1,1,19,2,16,0,0,1,2,6,4,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::SimpleSloppyPhraseQueryMaker ,2,3,0,2,0,0,0,3,46,1,24,0,0,0,0,16,10,0,0,0,0,0,0
org::apache::lucene::index::IndexFileNameFilter ,2,1,1,1,6,0,3,0,46,4,18,2,0,1,4,22,18,0,0,0,0,0,0
org::apache::lucene::analysis::payloads::TypeAsPayloadTokenFilter ,4,3,1,3,1,0,0,1,12,2,16,0,0,0,2,9,5,0,0,0,0,0,0
org::apache::lucene::search::DocIdSet ,8,1,8,0,1,3,0,0,0,2,9,0,0,0,2,2,0,0,0,0,0,0,0
org::apache::lucene::index::CharBlockPool ,4,1,2,2,3,0,7,0,21,3,9,1,0,6,3,6,4,0,0,0,0,0,0
org::apache::lucene::index::IndexModifier ,8,1,3,5,253,1,10,0,189,23,9,0,0,0,19,84,39,0,0,0,0,0,0
org::tartarus::snowball::ext::SpanishStemmer ,1,2,0,1,66,0,14,6,919,12,35,14,11,0,1,104,162,0,0,0,0,0,0
org::apache::lucene::analysis::snowball::SnowballAnalyzer ,4,2,0,4,1,0,2,0,13,2,15,2,0,0,2,8,3,0,0,0,0,0,0
org::apache::lucene::index::IndexFileNames ,9,1,7,2,3,0,26,0,20,3,9,0,0,0,0,6,8,0,0,0,0,0,0
org::apache::lucene::misc::SweetSpotSimilarity ,6,3,1,5,36,0,13,1,94,9,41,13,0,0,9,36,18,0,0,0,0,0,0
org::apache::lucene::store::db::DbLock ,1,2,1,0,6,0,1,3,11,4,12,0,0,1,4,4,4,0,0,0,0,0,0
org::tartarus::snowball::ext::FrenchStemmer ,1,2,0,1,91,0,14,6,1295,14,35,14,13,0,1,150,219,0,0,0,0,0,0
org::apache::lucene::search::ConstantScoreQuery ,11,2,7,4,28,0,1,0,30,8,39,0,0,0,7,16,12,0,0,0,0,0,0
org::apache::lucene::store::LockReleaseFailedException ,2,1,2,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0,0,0,0,0,0
org::apache::lucene::analysis::de::GermanStemmer ,4,1,1,3,28,0,2,0,171,8,9,2,6,0,1,123,58,0,0,0,0,0,0
org::apache::lucene::index::MultiReader ,9,2,2,7,378,0,8,2,215,28,58,7,3,0,19,84,57,1,0,0,0,0,1
org::apache::lucene::queryParser::surround::query::DistanceQuery ,8,3,1,7,21,0,2,1,68,7,47,2,0,0,7,36,13,0,0,0,0,0,0
org::apache::lucene::search::ConstantScoreRangeQuery ,3,4,2,1,3,0,0,2,10,3,63,0,0,0,3,5,3,0,0,0,0,0,0
org::apache::lucene::analysis::TeeTokenFilter ,6,3,4,2,1,0,1,1,10,2,16,0,0,1,2,4,2,0,0,0,0,0,0
